fullname,texturepath,ptmf,leaf,title,support,dims,thickness,area,year,edition,printpath,suffix,rv,tr,height,width,portrait,leafside,leaflightangle,suffixportrait,rvportrait,editionportrait,editionsuffix,editionsuffixportrait,editionside,editionsideportrait,editionlightangle,editionlightangleportrait
1253_4_rt,img/1253_4_rt.jpeg,1253,1253_4,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.399,1020,1929,4,prints/4_1929_1253-101024.jpg,rt,r,t,28.5,35.8,False,1253_4_r,1253_4_t,rt_False,r_False,4_False,4_rt,4_rt_False,4_r,4_r_False,4_t,4_t_False
1253_4_vr,img/1253_4_vr.jpeg,1253,1253_4,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.399,1020,1929,4,prints/4_1929_1253-101024.jpg,vr,v,r,28.5,35.8,False,1253_4_v,1253_4_r,vr_False,v_False,4_False,4_vr,4_vr_False,4_v,4_v_False,4_r,4_r_False
1253_4_vt,img/1253_4_vt.jpeg,1253,1253_4,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.399,1020,1929,4,prints/4_1929_1253-101024.jpg,vt,v,t,28.5,35.8,False,1253_4_v,1253_4_t,vt_False,v_False,4_False,4_vt,4_vt_False,4_v,4_v_False,4_t,4_t_False
1253_epreuve_5_rr,img/1253_epreuve_5_rr.jpeg,1253,1253_epreuve_5,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.359,1020,1929,4,prints/4_1929_1253-101024.jpg,rr,r,r,28.5,35.8,False,1253_epreuve_5_r,1253_epreuve_5_r,rr_False,r_False,4_False,4_rr,4_rr_False,4_r,4_r_False,4_r,4_r_False
1253_epreuve_5_rt,img/1253_epreuve_5_rt.jpeg,1253,1253_epreuve_5,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.359,1020,1929,4,prints/4_1929_1253-101024.jpg,rt,r,t,28.5,35.8,False,1253_epreuve_5_r,1253_epreuve_5_t,rt_False,r_False,4_False,4_rt,4_rt_False,4_r,4_r_False,4_t,4_t_False
1253_epreuve_5_vr,img/1253_epreuve_5_vr.jpeg,1253,1253_epreuve_5,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.359,1020,1929,4,prints/4_1929_1253-101024.jpg,vr,v,r,28.5,35.8,False,1253_epreuve_5_v,1253_epreuve_5_r,vr_False,v_False,4_False,4_vr,4_vr_False,4_v,4_v_False,4_r,4_r_False
1253_epreuve_5_vt,img/1253_epreuve_5_vt.jpeg,1253,1253_epreuve_5,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.359,1020,1929,4,prints/4_1929_1253-101024.jpg,vt,v,t,28.5,35.8,False,1253_epreuve_5_v,1253_epreuve_5_t,vt_False,v_False,4_False,4_vt,4_vt_False,4_v,4_v_False,4_t,4_t_False
1253_essai_a_rr,img/1253_essai_a_rr.jpeg,1253,1253_essai_a,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.391,1020,1929,4,prints/4_1929_1253-101024.jpg,rr,r,r,28.5,35.8,False,1253_essai_a_r,1253_essai_a_r,rr_False,r_False,4_False,4_rr,4_rr_False,4_r,4_r_False,4_r,4_r_False
1253_essai_a_rt,img/1253_essai_a_rt.jpeg,1253,1253_essai_a,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.391,1020,1929,4,prints/4_1929_1253-101024.jpg,rt,r,t,28.5,35.8,False,1253_essai_a_r,1253_essai_a_t,rt_False,r_False,4_False,4_rt,4_rt_False,4_r,4_r_False,4_t,4_t_False
1253_essai_a_vr,img/1253_essai_a_vr.jpeg,1253,1253_essai_a,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.391,1020,1929,4,prints/4_1929_1253-101024.jpg,vr,v,r,28.5,35.8,False,1253_essai_a_v,1253_essai_a_r,vr_False,v_False,4_False,4_vr,4_vr_False,4_v,4_v_False,4_r,4_r_False
